title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
Police Academy,4500000,81198894,23-Mar-84,23-Mar-84,18.044199,1984,3,6.3410258,1.8470405
The Ice Pirates,9000000,13075390,16-Mar-84,16-Mar-84,1.4528211,1984,3,6.3410258,1.8470405
The Hotel New Hampshire,7500000,5068118,9-Mar-84,9-Mar-84,0.67574906,1984,3,6.3410258,1.8470405
Splash,8000000,62599495,9-Mar-84,9-Mar-84,7.8249369,1984,3,6.3410258,1.8470405
Repo Man,1500000,2300000,2-Mar-84,2-Mar-84,1.5333333,1984,3,6.3410258,1.8470405
Footloose,8200000,75846770,17-Feb-84,17-Feb-84,9.2496061,1984,2,6.3410258,1.8470405
Brazil,15000000,9929135,18-Dec-85,18-Dec-85,0.66194236,1985,12,4.1928806,1.433388
The Color Purple,15000000,93589701,18-Dec-85,18-Dec-85,6.2393136,1985,12,4.1928806,1.433388
Out of Africa,31000000,258210860,18-Dec-85,18-Dec-85,8.3293829,1985,12,4.1928806,1.433388
Young Sherlock Holmes,18000000,18106539,4-Dec-85,4-Dec-85,1.0059189,1985,12,4.1928806,1.433388
Subway,2000000,1663296,6-Nov-85,6-Nov-85,0.83164799,1985,11,4.1928806,1.433388
A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999,1-Nov-85,1-Nov-85,7.0546665,1985,11,4.1928806,1.433388
Krush Groove,3000000,11052713,25-Oct-85,25-Oct-85,3.6842377,1985,10,4.1928806,1.433388
Silver Bullet,7000000,10803211,11-Oct-85,11-Oct-85,1.5433159,1985,10,4.1928806,1.433388
Commando,10000000,34896317,4-Oct-85,4-Oct-85,3.4896317,1985,10,4.1928806,1.433388
Invasion U.S.A.,10000000,17536256,27-Sep-85,27-Sep-85,1.7536256,1985,9,4.1928806,1.433388
The Return of the Living Dead,4000000,14237880,16-Aug-85,16-Aug-85,3.5594699,1985,8,4.1928806,1.433388
Silverado,26000000,32076721,10-Jul-85,10-Jul-85,1.2337201,1985,7,4.1928806,1.433388
Mad Max Beyond Thunderdome,10000000,36230219,10-Jul-85,10-Jul-85,3.6230218,1985,7,4.1928806,1.433388
Back to the Future,19000000,385524862,3-Jul-85,3-Jul-85,20.290783,1985,7,4.1928806,1.433388
Day of the Dead,3500000,34004262,3-Jul-85,3-Jul-85,9.7155037,1985,7,4.1928806,1.433388
Pale Rider,6900000,41410568,28-Jun-85,28-Jun-85,6.0015316,1985,6,4.1928806,1.433388
Red Sonja,17900000,6905861,28-Jun-85,28-Jun-85,0.3858023,1985,6,4.1928806,1.433388
Return to Oz,27000000,10618813,21-Jun-85,21-Jun-85,0.39328936,1985,6,4.1928806,1.433388
Lifeforce,25000000,11603545,21-Jun-85,21-Jun-85,0.46414179,1985,6,4.1928806,1.433388
A View to a Kill,30000000,151967091,24-May-85,24-May-85,5.0655699,1985,5,4.1928806,1.433388
Rambo: First Blood Part II,44000000,300400000,22-May-85,22-May-85,6.8272729,1985,5,4.1928806,1.433388
Ladyhawke,20000000,18248879,12-Apr-85,12-Apr-85,0.91244394,1985,4,4.1928806,1.433388
The Last Dragon,10000000,33000000,22-Mar-85,22-Mar-85,3.3,1985,3,4.1928806,1.433388
Friday the 13th Part V: A New Beginning,2200000,20674880,22-Mar-85,22-Mar-85,9.3976727,1985,3,4.1928806,1.433388
Def-Con 4,1300000,210904,15-Mar-85,15-Mar-85,0.16223384,1985,3,4.1928806,1.433388
Witness,12000000,65532576,8-Feb-85,8-Feb-85,5.4610481,1985,2,4.1928806,1.433388
Blood Simple,1500000,2730877,18-Jan-85,18-Jan-85,1.8205847,1985,1,4.1928806,1.433388
Witchboard,2000000,7369373,31-Dec-86,31-Dec-86,3.6846864,1986,12,6.690239,1.9006495
Little Shop of Horrors,30000000,38747385,19-Dec-86,19-Dec-86,1.2915795,1986,12,6.690239,1.9006495
Platoon,6000000,132761962,19-Dec-86,19-Dec-86,22.126993,1986,12,6.690239,1.9006495
