title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
Night at the Museum,110000000,579446407,22-Dec-06,22-Dec-06,5.2676945,2006,12,3.2483034,1.1781329
Venus,6000000,7818479,21-Dec-06,21-Dec-06,1.3030798,2006,12,3.2483034,1.1781329
Man cheng jin dai huang jin jia,45000000,75566773,21-Dec-06,21-Dec-06,1.6792616,2006,12,3.2483034,1.1781329
Letters from Iwo Jima,13000000,67867998,20-Dec-06,20-Dec-06,5.2206154,2006,12,3.2483034,1.1781329
Rocky Balboa,24000000,156229050,20-Dec-06,20-Dec-06,6.5095439,2006,12,3.2483034,1.1781329
The Painted Veil,19400000,15118795,20-Dec-06,20-Dec-06,0.77931935,2006,12,3.2483034,1.1781329
Charlotte's Web,82500000,143599768,15-Dec-06,15-Dec-06,1.7406032,2006,12,3.2483034,1.1781329
Eragon,100000000,249488115,15-Dec-06,15-Dec-06,2.4948812,2006,12,3.2483034,1.1781329
Indig’‘ÎŒnes,18900000,26063572,15-Dec-06,15-Dec-06,1.379025,2006,12,3.2483034,1.1781329
The Good German,32000000,1308696,15-Dec-06,15-Dec-06,0.040896751,2006,12,3.2483034,1.1781329
Arthur et les Minimoys,80000000,113325743,15-Dec-06,15-Dec-06,1.4165717,2006,12,3.2483034,1.1781329
Dreamgirls,75000000,154965956,15-Dec-06,15-Dec-06,2.0662127,2006,12,3.2483034,1.1781329
The Pursuit of Happyness,55000000,307325633,15-Dec-06,15-Dec-06,5.587739,2006,12,3.2483034,1.1781329
The Holiday,85000000,205135173,8-Dec-06,8-Dec-06,2.4133549,2006,12,3.2483034,1.1781329
Apocalypto,40000000,121032272,8-Dec-06,8-Dec-06,3.0258069,2006,12,3.2483034,1.1781329
Unaccompanied Minors,25000000,21970831,8-Dec-06,8-Dec-06,0.87883323,2006,12,3.2483034,1.1781329
Blood Diamond,100000000,171377916,8-Dec-06,8-Dec-06,1.7137792,2006,12,3.2483034,1.1781329
Turistas,10000000,14321070,1-Dec-06,1-Dec-06,1.432107,2006,12,3.2483034,1.1781329
The Nativity Story,35000000,46309644,1-Dec-06,1-Dec-06,1.3231326,2006,12,3.2483034,1.1781329
Kurtlar vadisi - Irak,8300000,24906717,24-Nov-06,24-Nov-06,3.0008092,2006,11,3.2483034,1.1781329
Deck the Halls,51000000,46815807,22-Nov-06,22-Nov-06,0.91795701,2006,11,3.2483034,1.1781329
Opal Dreams,9000000,14443,22-Nov-06,22-Nov-06,0.001604778,2006,11,3.2483034,1.1781329
D’‘Î©j’‘’_ Vu,80000000,181038616,22-Nov-06,22-Nov-06,2.2629826,2006,11,3.2483034,1.1781329
The Fountain,35000000,15461638,22-Nov-06,22-Nov-06,0.44176108,2006,11,3.2483034,1.1781329
The History Boys,3700000,13424361,21-Nov-06,21-Nov-06,3.6282058,2006,11,3.2483034,1.1781329
Let's Go to Prison,4000000,4630045,17-Nov-06,17-Nov-06,1.1575112,2006,11,3.2483034,1.1781329
Bobby,14000000,20560906,17-Nov-06,17-Nov-06,1.4686362,2006,11,3.2483034,1.1781329
Happy Feet,85000000,385000317,17-Nov-06,17-Nov-06,4.5294156,2006,11,3.2483034,1.1781329
For Your Consideration,12000000,5549923,17-Nov-06,17-Nov-06,0.46249357,2006,11,3.2483034,1.1781329
Casino Royale,102000000,594275385,17-Nov-06,17-Nov-06,5.8262291,2006,11,3.2483034,1.1781329
Stranger Than Fiction,30000000,53572822,10-Nov-06,10-Nov-06,1.7857608,2006,11,3.2483034,1.1781329
A Good Year,35000000,42064105,10-Nov-06,10-Nov-06,1.2018316,2006,11,3.2483034,1.1781329
Copying Beethoven,11000000,355968,10-Nov-06,10-Nov-06,0.032360729,2006,11,3.2483034,1.1781329
FUR: An Imaginary Portrait of Diane Arbus,16800000,2281089,10-Nov-06,10-Nov-06,0.13577911,2006,11,3.2483034,1.1781329
Come Early Morning,6000000,119452,10-Nov-06,10-Nov-06,0.019908667,2006,11,3.2483034,1.1781329
Harsh Times,2000000,6225304,10-Nov-06,10-Nov-06,3.1126521,2006,11,3.2483034,1.1781329
Unknown,3700000,3355048,3-Nov-06,3-Nov-06,0.90676975,2006,11,3.2483034,1.1781329
Borat,18000000,261443242,3-Nov-06,3-Nov-06,14.524625,2006,11,3.2483034,1.1781329
Flushed Away,149000000,179357126,3-Nov-06,3-Nov-06,1.203739,2006,11,3.2483034,1.1781329
Volver,9400000,87226613,3-Nov-06,3-Nov-06,9.2794266,2006,11,3.2483034,1.1781329
Babel,20000000,132121212,27-Oct-06,27-Oct-06,6.6060605,2006,10,3.2483034,1.1781329
Saw III,10000000,163876815,27-Oct-06,27-Oct-06,16.387682,2006,10,3.2483034,1.1781329
Catch a Fire,14000000,5782198,27-Oct-06,27-Oct-06,0.41301414,2006,10,3.2483034,1.1781329
The Prestige,40000000,104407366,20-Oct-06,20-Oct-06,2.6101842,2006,10,3.2483034,1.1781329
Running With Scissors,12000000,8706701,20-Oct-06,20-Oct-06,0.7255584,2006,10,3.2483034,1.1781329
Marie Antoinette,40000000,60862471,20-Oct-06,20-Oct-06,1.5215617,2006,10,3.2483034,1.1781329
Flags of Our Fathers,53000000,63657941,20-Oct-06,20-Oct-06,1.2010932,2006,10,3.2483034,1.1781329
Flicka,15000000,21896367,20-Oct-06,20-Oct-06,1.4597578,2006,10,3.2483034,1.1781329
51 Birch Street,350000,84689,18-Oct-06,18-Oct-06,0.24196857,2006,10,3.2483034,1.1781329
One Night with the King,20000000,13725032,13-Oct-06,13-Oct-06,0.68625158,2006,10,3.2483034,1.1781329
Infamous,13000000,2613717,13-Oct-06,13-Oct-06,0.20105515,2006,10,3.2483034,1.1781329
Man of the Year,20000000,41342180,13-Oct-06,13-Oct-06,2.0671091,2006,10,3.2483034,1.1781329
Alex Rider: Operation Stormbreaker,40000000,20722450,13-Oct-06,13-Oct-06,0.51806122,2006,10,3.2483034,1.1781329
Driving Lessons,4700000,239962,13-Oct-06,13-Oct-06,0.051055744,2006,10,3.2483034,1.1781329
The Grudge 2,20000000,70743839,13-Oct-06,13-Oct-06,3.5371919,2006,10,3.2483034,1.1781329
The Marine,15000000,22165608,13-Oct-06,13-Oct-06,1.4777071,2006,10,3.2483034,1.1781329
The Texas Chainsaw Massacre: The Beginning,16000000,50517763,6-Oct-06,6-Oct-06,3.1573601,2006,10,3.2483034,1.1781329
Employee of the Month,10000000,38364855,6-Oct-06,6-Oct-06,3.8364854,2006,10,3.2483034,1.1781329
Little Children,14000000,14121177,6-Oct-06,6-Oct-06,1.0086555,2006,10,3.2483034,1.1781329
The Departed,90000000,289660619,6-Oct-06,6-Oct-06,3.2184513,2006,10,3.2483034,1.1781329
Love's Abiding Joy,3000000,252726,6-Oct-06,6-Oct-06,0.084242001,2006,10,3.2483034,1.1781329
Shortbus,2000000,1985292,4-Oct-06,4-Oct-06,0.99264598,2006,10,3.2483034,1.1781329
The Queen,15000000,128885873,30-Sep-06,30-Sep-06,8.592392,2006,9,3.2483034,1.1781329
School for Scoundrels,20000000,17807569,29-Sep-06,29-Sep-06,0.89037848,2006,9,3.2483034,1.1781329
Open Season,85000000,191152567,29-Sep-06,29-Sep-06,2.2488537,2006,9,3.2483034,1.1781329
Facing the Giants,100000,10243159,29-Sep-06,29-Sep-06,102.43159,2006,9,3.2483034,1.1781329
The Last King of Scotland,6000000,49155371,27-Sep-06,27-Sep-06,8.1925621,2006,9,3.2483034,1.1781329
Jackass: Number Two,11000000,85278712,22-Sep-06,22-Sep-06,7.7526102,2006,9,3.2483034,1.1781329
Feast,3200000,690872,22-Sep-06,22-Sep-06,0.2158975,2006,9,3.2483034,1.1781329
Flyboys,60000000,14816379,22-Sep-06,22-Sep-06,0.24693964,2006,9,3.2483034,1.1781329
Renaissance,18000000,2401413,22-Sep-06,22-Sep-06,0.13341184,2006,9,3.2483034,1.1781329
All the King's Men,55000000,9521458,22-Sep-06,22-Sep-06,0.17311741,2006,9,3.2483034,1.1781329
Bandidas,35000000,19282590,22-Sep-06,22-Sep-06,0.55093116,2006,9,3.2483034,1.1781329
La science des r’‘Î_ves,6000000,15137932,22-Sep-06,22-Sep-06,2.5229886,2006,9,3.2483034,1.1781329
The Black Dahlia,60000000,49110792,15-Sep-06,15-Sep-06,0.81851321,2006,9,3.2483034,1.1781329
Gridiron Gang,30000000,41457834,15-Sep-06,15-Sep-06,1.3819278,2006,9,3.2483034,1.1781329
Artie Lange's Beer League,2800000,475000,15-Sep-06,15-Sep-06,0.16964285,2006,9,3.2483034,1.1781329
The Covenant,20000000,38142105,8-Sep-06,8-Sep-06,1.9071052,2006,9,3.2483034,1.1781329
Sherrybaby,2000000,759504,8-Sep-06,8-Sep-06,0.37975201,2006,9,3.2483034,1.1781329
Tom yum goong,5700000,43044087,8-Sep-06,8-Sep-06,7.5515943,2006,9,3.2483034,1.1781329
Mutual Appreciation,30000,103509,1-Sep-06,1-Sep-06,3.4503,2006,9,3.2483034,1.1781329
Lage Raho Munna Bhai,2700000,31517561,1-Sep-06,1-Sep-06,11.673171,2006,9,3.2483034,1.1781329
Idiocracy,2400000,500296,1-Sep-06,1-Sep-06,0.20845667,2006,9,3.2483034,1.1781329
Crank,12000000,43924923,1-Sep-06,1-Sep-06,3.6604102,2006,9,3.2483034,1.1781329
Crossover,5600000,7009668,1-Sep-06,1-Sep-06,1.2517264,2006,9,3.2483034,1.1781329
Old Joy,300000,399908,25-Aug-06,25-Aug-06,1.3330266,2006,8,3.2483034,1.1781329
The Quiet,900000,381420,25-Aug-06,25-Aug-06,0.42379999,2006,8,3.2483034,1.1781329
Idlewild,15000000,12571185,25-Aug-06,25-Aug-06,0.83807898,2006,8,3.2483034,1.1781329
Invincible,40000000,58501127,25-Aug-06,25-Aug-06,1.4625282,2006,8,3.2483034,1.1781329
Beerfest,17500000,20159316,25-Aug-06,25-Aug-06,1.151961,2006,8,3.2483034,1.1781329
10th & Wolf,8000000,143782,18-Aug-06,18-Aug-06,0.017972751,2006,8,3.2483034,1.1781329
The Illusionist,16500000,83792062,18-Aug-06,18-Aug-06,5.0783067,2006,8,3.2483034,1.1781329
Snakes on a Plane,33000000,62020814,18-Aug-06,18-Aug-06,1.8794186,2006,8,3.2483034,1.1781329
Trust the Man,9000000,2548378,18-Aug-06,18-Aug-06,0.28315312,2006,8,3.2483034,1.1781329
Kabhi Alvida Naa Kehna,10750000,32575443,11-Aug-06,11-Aug-06,3.0302737,2006,8,3.2483034,1.1781329
Step Up,12000000,110989157,11-Aug-06,11-Aug-06,9.2490969,2006,8,3.2483034,1.1781329
Half Nelson,700000,4911725,11-Aug-06,11-Aug-06,7.0167499,2006,8,3.2483034,1.1781329
Casa de Areia,3750000,1178175,11-Aug-06,11-Aug-06,0.31417999,2006,8,3.2483034,1.1781329
Zoom,35000000,12148105,11-Aug-06,11-Aug-06,0.34708872,2006,8,3.2483034,1.1781329
Pulse,20500000,30241435,11-Aug-06,11-Aug-06,1.475192,2006,8,3.2483034,1.1781329
Conversations with Other Women,450000,1297745,11-Aug-06,11-Aug-06,2.8838778,2006,8,3.2483034,1.1781329
World Trade Center,65000000,163295654,9-Aug-06,9-Aug-06,2.5122409,2006,8,3.2483034,1.1781329
Talladega Nights: The Ballad of Ricky Bobby,73000000,162870525,4-Aug-06,4-Aug-06,2.2311032,2006,8,3.2483034,1.1781329
The Descent,7000000,57051053,4-Aug-06,4-Aug-06,8.1501503,2006,8,3.2483034,1.1781329
"Bon Cop, Bad Cop",8000000,12697976,4-Aug-06,4-Aug-06,1.587247,2006,8,3.2483034,1.1781329
Barnyard: The Original Party Animals,51000000,118583844,4-Aug-06,4-Aug-06,2.3251734,2006,8,3.2483034,1.1781329
The Night Listener,4000000,10770993,4-Aug-06,4-Aug-06,2.6927483,2006,8,3.2483034,1.1781329
Quinceanera,400000,2797199,2-Aug-06,2-Aug-06,6.9929976,2006,8,3.2483034,1.1781329
Scoop,4000000,40107018,28-Jul-06,28-Jul-06,10.026754,2006,7,3.2483034,1.1781329
Miami Vice,135000000,163790188,28-Jul-06,28-Jul-06,1.2132607,2006,7,3.2483034,1.1781329
The Ant Bully,45000000,49610898,28-Jul-06,28-Jul-06,1.1024644,2006,7,3.2483034,1.1781329
Little Miss Sunshine,8000000,100642353,26-Jul-06,26-Jul-06,12.580294,2006,7,3.2483034,1.1781329
My Super Ex-Girlfriend,30000000,60772856,21-Jul-06,21-Jul-06,2.0257618,2006,7,3.2483034,1.1781329
The Case of the Grinning Cat,200000,7033,21-Jul-06,21-Jul-06,0.035165001,2006,7,3.2483034,1.1781329
Lady in the Water,75000000,72785169,21-Jul-06,21-Jul-06,0.97046894,2006,7,3.2483034,1.1781329
Clerks II,5000000,27342246,21-Jul-06,21-Jul-06,5.4684491,2006,7,3.2483034,1.1781329
Monster House,75000000,141267370,21-Jul-06,21-Jul-06,1.8835649,2006,7,3.2483034,1.1781329
"You, Me and Dupree",54000000,130228110,14-Jul-06,14-Jul-06,2.4116316,2006,7,3.2483034,1.1781329
Edmond,10000000,241719,14-Jul-06,14-Jul-06,0.0241719,2006,7,3.2483034,1.1781329
The Oh in Ohio,5000000,648183,14-Jul-06,14-Jul-06,0.1296366,2006,7,3.2483034,1.1781329
Little Man,64000000,101295702,14-Jul-06,14-Jul-06,1.5827453,2006,7,3.2483034,1.1781329
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,215559,7-Jul-06,7-Jul-06,0.21555901,2006,7,3.2483034,1.1781329
A Scanner Darkly,20000000,7405084,7-Jul-06,7-Jul-06,0.37025419,2006,7,3.2483034,1.1781329
Pirates of the Caribbean: Dead Man's Chest,225000000,1066215812,7-Jul-06,7-Jul-06,4.7387371,2006,7,3.2483034,1.1781329
The Devil Wears Prada,35000000,326073155,30-Jun-06,30-Jun-06,9.3163757,2006,6,3.2483034,1.1781329
Who Killed the Electric Car?,1000000,1849392,28-Jun-06,28-Jun-06,1.8493921,2006,6,3.2483034,1.1781329
The Motel,250000,51540,28-Jun-06,28-Jun-06,0.20615999,2006,6,3.2483034,1.1781329
Superman Returns,232000000,374085065,28-Jun-06,28-Jun-06,1.6124356,2006,6,3.2483034,1.1781329
Strangers with Candy,2000000,2077844,28-Jun-06,28-Jun-06,1.038922,2006,6,3.2483034,1.1781329
Say Uncle,2000000,5361,23-Jun-06,23-Jun-06,0.0026805,2006,6,3.2483034,1.1781329
Krrish,10000000,32430721,23-Jun-06,23-Jun-06,3.243072,2006,6,3.2483034,1.1781329
Click,82500000,237669602,23-Jun-06,23-Jun-06,2.8808436,2006,6,3.2483034,1.1781329
The Lake House,40000000,114830111,16-Jun-06,16-Jun-06,2.8707528,2006,6,3.2483034,1.1781329
Wordplay,500000,3175921,16-Jun-06,16-Jun-06,6.3518419,2006,6,3.2483034,1.1781329
Garfield: A Tail of Two Kitties,60000000,147985373,16-Jun-06,16-Jun-06,2.4664228,2006,6,3.2483034,1.1781329
Nacho Libre,32000000,99296462,16-Jun-06,16-Jun-06,3.1030145,2006,6,3.2483034,1.1781329
The Fast and the Furious: Tokyo Drift,85000000,157693110,16-Jun-06,16-Jun-06,1.855213,2006,6,3.2483034,1.1781329
Cars,70000000,461651246,9-Jun-06,9-Jun-06,6.5950179,2006,6,3.2483034,1.1781329
A Prairie Home Companion,10000000,26716191,9-Jun-06,9-Jun-06,2.6716192,2006,6,3.2483034,1.1781329
The Omen,25000000,119295584,6-Jun-06,6-Jun-06,4.7718234,2006,6,3.2483034,1.1781329
Banlieue 13,15000000,11599903,2-Jun-06,2-Jun-06,0.77332687,2006,6,3.2483034,1.1781329
The Puffy Chair,15000,195254,2-Jun-06,2-Jun-06,13.016933,2006,6,3.2483034,1.1781329
Peaceful Warrior,10000000,3260179,2-Jun-06,2-Jun-06,0.32601789,2006,6,3.2483034,1.1781329
The Break-Up,52000000,205727307,2-Jun-06,2-Jun-06,3.9562943,2006,6,3.2483034,1.1781329
X-Men: The Last Stand,210000000,459359555,26-May-06,26-May-06,2.1874266,2006,5,3.2483034,1.1781329
Cavite,7000,71644,26-May-06,26-May-06,10.234858,2006,5,3.2483034,1.1781329
An Inconvenient Truth,1000000,52438751,24-May-06,24-May-06,52.438751,2006,5,3.2483034,1.1781329
Over the Hedge,80000000,343397247,19-May-06,19-May-06,4.2924657,2006,5,3.2483034,1.1781329
See No Evil,8000000,18828036,19-May-06,19-May-06,2.3535044,2006,5,3.2483034,1.1781329
The Da Vinci Code,125000000,767820459,19-May-06,19-May-06,6.1425638,2006,5,3.2483034,1.1781329
Wah-Wah,7000000,463039,12-May-06,12-May-06,0.06614843,2006,5,3.2483034,1.1781329
Goal! The Dream Begins,33000000,27610873,12-May-06,12-May-06,0.83669311,2006,5,3.2483034,1.1781329
Dead Man's Shoes,1125000,414341,12-May-06,12-May-06,0.36830312,2006,5,3.2483034,1.1781329
Just My Luck,28000000,38159905,12-May-06,12-May-06,1.3628538,2006,5,3.2483034,1.1781329
Poseidon,160000000,181674817,12-May-06,12-May-06,1.1354676,2006,5,3.2483034,1.1781329
Keeping Up with the Steins,5000000,4414753,12-May-06,12-May-06,0.8829506,2006,5,3.2483034,1.1781329
An American Haunting,14000000,30443277,5-May-06,5-May-06,2.1745198,2006,5,3.2483034,1.1781329
Hoot,15000000,8224998,5-May-06,5-May-06,0.54833323,2006,5,3.2483034,1.1781329
Wu ji,30000000,35869934,5-May-06,5-May-06,1.1956645,2006,5,3.2483034,1.1781329
Mission: Impossible III,150000000,397501348,5-May-06,5-May-06,2.6500089,2006,5,3.2483034,1.1781329
The Proposition,20000000,5313608,5-May-06,5-May-06,0.2656804,2006,5,3.2483034,1.1781329
Down in the Valley,8000000,973443,5-May-06,5-May-06,0.12168037,2006,5,3.2483034,1.1781329
Chinjeolhan geumjassi,4500000,23471871,4-May-06,4-May-06,5.2159715,2006,5,3.2483034,1.1781329
The Lost City,9600000,5256839,28-Apr-06,28-Apr-06,0.54758739,2006,4,3.2483034,1.1781329
Clean,10000,138711,28-Apr-06,28-Apr-06,13.8711,2006,4,3.2483034,1.1781329
Water,3000000,11322573,28-Apr-06,28-Apr-06,3.7741909,2006,4,3.2483034,1.1781329
R.V.,55000000,87252035,28-Apr-06,28-Apr-06,1.5864006,2006,4,3.2483034,1.1781329
Stick It,20000000,30399714,28-Apr-06,28-Apr-06,1.5199857,2006,4,3.2483034,1.1781329
Grip: A Criminal's Story,12000,1336,28-Apr-06,28-Apr-06,0.11133333,2006,4,3.2483034,1.1781329
United 93,18000000,77551351,28-Apr-06,28-Apr-06,4.3084083,2006,4,3.2483034,1.1781329
Akeelah and the Bee,8000000,18959424,28-Apr-06,28-Apr-06,2.3699279,2006,4,3.2483034,1.1781329
In Her Line of Fire,1000000,884,21-Apr-06,21-Apr-06,0.000884,2006,4,3.2483034,1.1781329
American Dreamz,17000000,16353669,21-Apr-06,21-Apr-06,0.96198052,2006,4,3.2483034,1.1781329
The Sentinel,60000000,78080697,21-Apr-06,21-Apr-06,1.301345,2006,4,3.2483034,1.1781329
Silent Hill,50000000,94704227,21-Apr-06,21-Apr-06,1.8940846,2006,4,3.2483034,1.1781329
Scary Movie 4,40000000,178710620,14-Apr-06,14-Apr-06,4.4677653,2006,4,3.2483034,1.1781329
Hard Candy,950000,8267066,14-Apr-06,14-Apr-06,8.7021751,2006,4,3.2483034,1.1781329
The Wild,80000000,99010667,14-Apr-06,14-Apr-06,1.2376333,2006,4,3.2483034,1.1781329
Sisters in Law,300000,33312,12-Apr-06,12-Apr-06,0.11104,2006,4,3.2483034,1.1781329
Friends with Money,6500000,18110152,7-Apr-06,7-Apr-06,2.7861772,2006,4,3.2483034,1.1781329
Phat Girlz,3000000,7301115,7-Apr-06,7-Apr-06,2.4337051,2006,4,3.2483034,1.1781329
Lucky Number Slevin,27000000,55495466,7-Apr-06,7-Apr-06,2.0553877,2006,4,3.2483034,1.1781329
The Benchwarmers,35000000,62871766,7-Apr-06,7-Apr-06,1.7963362,2006,4,3.2483034,1.1781329
Simon,1300000,1738379,7-Apr-06,7-Apr-06,1.3372146,2006,4,3.2483034,1.1781329
Take the Lead,30000000,65390493,1-Apr-06,1-Apr-06,2.1796832,2006,4,3.2483034,1.1781329
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,489960,31-Mar-06,31-Mar-06,0.19598401,2006,3,3.2483034,1.1781329
Brick,450000,4243996,31-Mar-06,31-Mar-06,9.4311018,2006,3,3.2483034,1.1781329
Ice Age: The Meltdown,75000000,651899282,31-Mar-06,31-Mar-06,8.6919909,2006,3,3.2483034,1.1781329
Slither,15250000,12930343,31-Mar-06,31-Mar-06,0.84789133,2006,3,3.2483034,1.1781329
Basic Instinct 2,70000000,35417162,31-Mar-06,31-Mar-06,0.50595945,2006,3,3.2483034,1.1781329
ATL,17000000,21170563,31-Mar-06,31-Mar-06,1.2453272,2006,3,3.2483034,1.1781329
Stay Alive,20000000,23187506,24-Mar-06,24-Mar-06,1.1593753,2006,3,3.2483034,1.1781329
Boynton Beach Club,2900000,3127472,24-Mar-06,24-Mar-06,1.0784386,2006,3,3.2483034,1.1781329
Lonesome Jim,500000,602789,24-Mar-06,24-Mar-06,1.205578,2006,3,3.2483034,1.1781329
Larry the Cable Guy: Health Inspector,17000000,15680099,24-Mar-06,24-Mar-06,0.92235875,2006,3,3.2483034,1.1781329
Inside Man,50000000,185677523,24-Mar-06,24-Mar-06,3.7135506,2006,3,3.2483034,1.1781329
V for Vendetta,50000000,130214162,17-Mar-06,17-Mar-06,2.6042833,2006,3,3.2483034,1.1781329
Sommersturm,3000000,95204,17-Mar-06,17-Mar-06,0.031734668,2006,3,3.2483034,1.1781329
Thank You For Smoking,7500000,40016662,17-Mar-06,17-Mar-06,5.3355551,2006,3,3.2483034,1.1781329
She's the Man,25000000,55078079,17-Mar-06,17-Mar-06,2.2031231,2006,3,3.2483034,1.1781329
Find Me Guilty,13000000,2898225,17-Mar-06,17-Mar-06,0.22294039,2006,3,3.2483034,1.1781329
The Hills Have Eyes,17000000,70355813,10-Mar-06,10-Mar-06,4.1385775,2006,3,3.2483034,1.1781329
Failure to Launch,50000000,128402901,10-Mar-06,10-Mar-06,2.568058,2006,3,3.2483034,1.1781329
The Shaggy Dog,60000000,87123569,10-Mar-06,10-Mar-06,1.4520595,2006,3,3.2483034,1.1781329
Aquamarine,12000000,22977327,3-Mar-06,3-Mar-06,1.9147773,2006,3,3.2483034,1.1781329
Joyeux No’‘’öl,22000000,23134075,3-Mar-06,3-Mar-06,1.0515488,2006,3,3.2483034,1.1781329
Dave Chappelle's Block Party,3000000,12051924,3-Mar-06,3-Mar-06,4.0173082,2006,3,3.2483034,1.1781329
Ultraviolet,30000000,30962112,3-Mar-06,3-Mar-06,1.0320704,2006,3,3.2483034,1.1781329
16 Blocks,45000000,65583539,3-Mar-06,3-Mar-06,1.457412,2006,3,3.2483034,1.1781329
Tsotsi,3000000,11537539,24-Feb-06,24-Feb-06,3.8458464,2006,2,3.2483034,1.1781329
Doogal,20000000,28058652,24-Feb-06,24-Feb-06,1.4029326,2006,2,3.2483034,1.1781329
Running Scared,17000000,8345277,24-Feb-06,24-Feb-06,0.49089864,2006,2,3.2483034,1.1781329
Madea's Family Reunion,10000000,63320521,24-Feb-06,24-Feb-06,6.3320522,2006,2,3.2483034,1.1781329
Eight Below,40000000,120612565,17-Feb-06,17-Feb-06,3.0153141,2006,2,3.2483034,1.1781329
Winter Passing,3500000,112925,17-Feb-06,17-Feb-06,0.032264285,2006,2,3.2483034,1.1781329
Nochnoy dozor,4200000,33910542,17-Feb-06,17-Feb-06,8.0739384,2006,2,3.2483034,1.1781329
Date Movie,20000000,85146165,17-Feb-06,17-Feb-06,4.2573085,2006,2,3.2483034,1.1781329
Curious George,50000000,70749050,10-Feb-06,10-Feb-06,1.414981,2006,2,3.2483034,1.1781329
Firewall,50000000,82751189,10-Feb-06,10-Feb-06,1.6550238,2006,2,3.2483034,1.1781329
London,2000000,12667,10-Feb-06,10-Feb-06,0.0063335,2006,2,3.2483034,1.1781329
Final Destination 3,25000000,112798051,10-Feb-06,10-Feb-06,4.5119219,2006,2,3.2483034,1.1781329
The Pink Panther,80000000,158926474,10-Feb-06,10-Feb-06,1.986581,2006,2,3.2483034,1.1781329
When a Stranger Calls,15000000,67215435,3-Feb-06,3-Feb-06,4.481029,2006,2,3.2483034,1.1781329
Manderlay,14200000,543306,27-Jan-06,27-Jan-06,0.038260985,2006,1,3.2483034,1.1781329
Nanny McPhee,25000000,128590699,27-Jan-06,27-Jan-06,5.1436281,2006,1,3.2483034,1.1781329
Imagine Me & You,7900000,3129471,27-Jan-06,27-Jan-06,0.39613557,2006,1,3.2483034,1.1781329
Rang De Basanti,5300000,29197694,27-Jan-06,27-Jan-06,5.5089989,2006,1,3.2483034,1.1781329
Tristram Shandy: A Cock and Bull Story,4750000,3061763,27-Jan-06,27-Jan-06,0.64458168,2006,1,3.2483034,1.1781329
Bubble,1600000,145382,27-Jan-06,27-Jan-06,0.090863749,2006,1,3.2483034,1.1781329
Big Momma's House 2,40000000,137047376,27-Jan-06,27-Jan-06,3.4261844,2006,1,3.2483034,1.1781329
Underworld: Evolution,45000000,113417762,20-Jan-06,20-Jan-06,2.5203948,2006,1,3.2483034,1.1781329
End of the Spear,10000000,11924041,20-Jan-06,20-Jan-06,1.1924042,2006,1,3.2483034,1.1781329
Last Holiday,45000000,43343247,13-Jan-06,13-Jan-06,0.96318328,2006,1,3.2483034,1.1781329
Glory Road,30000000,42799060,13-Jan-06,13-Jan-06,1.4266354,2006,1,3.2483034,1.1781329
BloodRayne,25000000,3605420,6-Jan-06,6-Jan-06,0.14421681,2006,1,3.2483034,1.1781329
Hostel,4800000,82241110,6-Jan-06,6-Jan-06,17.133564,2006,1,3.2483034,1.1781329
Grandma's Boy,5000000,6590172,6-Jan-06,6-Jan-06,1.3180344,2006,1,3.2483034,1.1781329
Fateless,12000000,196857,6-Jan-06,6-Jan-06,0.01640475,2006,1,3.2483034,1.1781329
Arn - Tempelriddaren,16500000,21404122,31-Dec-07,31-Dec-07,1.2972195,2007,12,3.4947062,1.2512493
Alatriste,28000000,22860477,31-Dec-07,31-Dec-07,0.81644559,2007,12,3.4947062,1.2512493
El orfanato,4000000,79250193,28-Dec-07,28-Dec-07,19.812548,2007,12,3.4947062,1.2512493
There Will Be Blood,25000000,77208711,26-Dec-07,26-Dec-07,3.0883484,2007,12,3.4947062,1.2512493
Persepolis,7300000,25397460,25-Dec-07,25-Dec-07,3.479104,2007,12,3.4947062,1.2512493
Aliens vs. Predator - Requiem,40000000,128884494,25-Dec-07,25-Dec-07,3.2221124,2007,12,3.4947062,1.2512493
The Great Debaters,15000000,30261293,25-Dec-07,25-Dec-07,2.0174196,2007,12,3.4947062,1.2512493
The Bucket List,45000000,174810815,25-Dec-07,25-Dec-07,3.8846848,2007,12,3.4947062,1.2512493
Blonde Ambition,10000000,1537479,21-Dec-07,21-Dec-07,0.1537479,2007,12,3.4947062,1.2512493
Walk Hard: The Dewey Cox Story,35000000,20606053,21-Dec-07,21-Dec-07,0.58874434,2007,12,3.4947062,1.2512493
P.S. I Love You,30000000,155769678,21-Dec-07,21-Dec-07,5.1923227,2007,12,3.4947062,1.2512493
Charlie Wilson's War,75000000,119512771,21-Dec-07,21-Dec-07,1.5935036,2007,12,3.4947062,1.2512493
Alvin and the Chipmunks,55000000,362605033,14-Dec-07,14-Dec-07,6.5928187,2007,12,3.4947062,1.2512493
Goodbye Bafana,30000000,2717302,14-Dec-07,14-Dec-07,0.090576731,2007,12,3.4947062,1.2512493
I am Legend,150000000,585532684,14-Dec-07,14-Dec-07,3.9035513,2007,12,3.4947062,1.2512493
The Kite Runner,20000000,74180745,14-Dec-07,14-Dec-07,3.7090373,2007,12,3.4947062,1.2512493
